xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,subType,scoreDiff,shotPct,clutchFlag
-9,32,3,1,1,Layup Shot,0.0,0.469,0
-59,35,7,0,1,Layup Shot,0.0,0.445,0
-97,76,12,0,1,Floating Jump shot,-2.0,0.526,0
-174,193,26,0,1,Jump Shot,-2.0,0.396,0
-224,59,0,0,1,Step Back Jump shot,-2.0,0.316,0
23,29,4,0,1,Driving Layup Shot,-2.0,0.5,0
-10,20,2,1,1,Running Dunk Shot,2.0,0.459,0
23,17,3,0,1,Driving Layup Shot,-2.0,0.609,0
-25,-1,3,0,1,Running Finger Roll Layup Shot,0.0,0.459,0
5,16,2,1,1,Running Layup Shot,0.0,0.609,0
4,16,2,1,1,Driving Dunk Shot,0.0,0.459,0
213,143,26,0,1,Jump Shot,-2.0,0.414,0
2,-19,2,1,1,Putback Layup Shot,0.0,0.526,0
2,105,11,1,1,Turnaround Fadeaway shot,0.0,0.459,0
-58,110,12,1,1,Jump Shot,-2.0,0.526,0
136,231,27,1,1,Jump Shot,0.0,0.363,0
-56,57,8,1,1,Floating Jump shot,-2.0,0.526,0
-38,21,4,1,1,Layup Shot,-1.0,0.419,0
12,31,3,1,1,Driving Layup Shot,-1.0,0.5,0
18,46,5,1,1,Driving Layup Shot,-1.0,0.459,0
1,25,3,1,1,Running Dunk Shot,0.0,0.609,0
-218,161,27,0,1,Jump Shot,-1.0,0.352,0
-7,32,3,1,1,Layup Shot,-3.0,0.609,0
-32,32,5,0,1,Driving Finger Roll Layup Shot,3.0,0.459,0
222,139,26,0,1,Jump Shot,-5.0,0.387,0
-11,23,3,0,1,Putback Layup Shot,6.0,0.533,0
31,64,7,0,1,Driving Floating Jump Shot,-6.0,0.445,0
20,13,2,0,1,Tip Layup Shot,6.0,0.667,0
116,27,12,0,1,Driving Floating Jump Shot,5.0,0.52,0
93,121,15,1,1,Jump Shot,-5.0,0.454,0
-49,286,29,1,1,Jump Shot,-6.0,0.351,0
104,252,27,0,1,Pullup Jump shot,4.0,0.352,0
9,14,2,0,1,Tip Layup Shot,7.0,0.667,0
5,19,2,0,1,Putback Layup Shot,-7.0,0.471,0
-6,17,2,1,1,Running Dunk Shot,-7.0,0.454,0
-129,253,28,0,1,Step Back Jump shot,7.0,0.387,0
26,18,3,1,1,Running Layup Shot,-5.0,0.52,0
197,147,25,0,1,Step Back Jump shot,-5.0,0.418,0
232,23,0,0,1,Jump Shot,6.0,0.351,0
-28,5,3,1,1,Driving Reverse Layup Shot,5.0,0.445,0
-113,12,11,1,1,Pullup Jump shot,-5.0,0.52,0
2,216,22,0,1,Pullup Jump shot,3.0,0.445,0
25,263,26,0,1,Pullup Jump shot,-5.0,0.302,0
137,212,25,1,1,Jump Shot,4.0,0.396,0
-123,252,28,0,1,Pullup Jump shot,3.0,0.352,0
5,28,3,1,1,Running Finger Roll Layup Shot,-6.0,0.5,0
-150,188,24,0,1,Step Back Jump shot,6.0,0.352,0
-239,55,25,1,1,Jump Shot,8.0,0.352,0
-127,219,25,0,1,Step Back Jump shot,-8.0,0.352,0
-15,36,4,1,1,Running Layup Shot,5.0,0.533,0
-156,247,29,1,1,Pullup Jump shot,5.0,0.389,0
131,247,28,0,1,Pullup Jump shot,7.0,0.403,0
27,38,5,1,1,Driving Finger Roll Layup Shot,4.0,0.52,0
-22,21,3,0,1,Reverse Layup Shot,4.0,0.442,0
-222,118,25,1,1,Running Jump Shot,-6.0,0.396,0
121,234,26,1,1,Jump Shot,6.0,0.363,0
-85,166,19,0,1,Pullup Jump shot,9.0,0.459,0
5,119,12,1,1,Jump Shot,6.0,0.52,0
123,257,28,1,1,Jump Shot,6.0,0.418,0
145,230,27,0,1,Pullup Jump shot,-8.0,0.414,0
-11,34,4,1,1,Putback Layup Shot,-5.0,0.465,0
-235,-8,24,0,1,Jump Shot,-5.0,0.403,0
2,17,2,0,1,Running Reverse Layup Shot,-7.0,0.465,0
0,24,2,1,1,Cutting Dunk Shot,7.0,0.442,0
34,95,10,0,1,Driving Floating Jump Shot,-7.0,0.526,0
173,221,28,1,1,Running Jump Shot,5.0,0.418,0
-31,23,4,1,1,Cutting Layup Shot,-5.0,0.433,0
-229,30,0,1,1,Jump Shot,2.0,0.389,0
4,11,1,0,1,Driving Layup Shot,-4.0,0.465,0
-9,-8,1,1,1,Running Dunk Shot,-1.0,0.465,0
12,75,8,0,1,Turnaround Jump Shot,-1.0,0.459,0
-28,1,3,0,1,Driving Layup Shot,-4.0,0.459,0
70,308,32,0,1,Pullup Jump shot,5.0,0.418,0
-12,15,2,0,1,Tip Layup Shot,-5.0,0.419,0
18,267,27,1,1,Pullup Jump shot,5.0,0.363,0
-227,122,26,0,1,Jump Shot,5.0,0.316,0
0,0,0,0,1,Tip Layup Shot,8.0,0.667,0
-23,75,8,0,1,Driving Floating Jump Shot,8.0,0.467,0
210,125,24,0,1,Running Jump Shot,8.0,0.352,0
-33,10,3,1,1,Driving Finger Roll Layup Shot,-8.0,0.433,0
130,209,25,0,1,Jump Shot,8.0,0.343,0
-31,252,25,1,1,Jump Shot,9.0,0.396,0
-37,15,4,0,1,Driving Finger Roll Layup Shot,8.0,0.454,0
-232,18,0,0,1,Jump Shot,-11.0,0.358,0
-148,220,27,0,1,Running Pull-Up Jump Shot,11.0,0.316,0
