gameId,actionNumber,teamId,personId,playerNameI,xLegacy,yLegacy,shotDistance,shotResult,isFieldGoal,scoreHome,scoreAway,location,actionType,subType,shotValue,actionId,scoreDiff,clutchFlag
0022400015,9,1610612747,1642261,D. Knecht,-227,-5,0,0,1,0,0,v,Missed Shot,Jump Shot,3,4,0.0,0
0022400025,9,1610612760,1630598,A. Wiggins,112,226,25,1,1,2,3,v,Made Shot,Jump Shot,3,4,0.0,0
0022400057,9,1610612756,1626164,D. Booker,-78,131,15,1,1,2,0,h,Made Shot,Step Back Jump shot,2,4,0.0,0
0022400094,8,1610612759,203084,H. Barnes,225,22,0,0,1,0,0,h,Missed Shot,Jump Shot,3,4,0.0,0
0022400130,8,1610612759,1641705,V. Wembanyama,-83,268,28,0,1,0,0,v,Missed Shot,Jump Shot,3,4,0.0,0
0022400168,9,1610612746,1629611,T. Mann,234,78,25,1,1,3,2,h,Made Shot,Jump Shot,3,4,0.0,0
0022400173,9,1610612759,1641705,V. Wembanyama,-32,8,3,1,1,2,2,v,Made Shot,Driving Finger Roll Layup Shot,2,4,0.0,0
0022400183,10,1610612757,1641739,T. Camara,-1,10,1,0,1,0,0,v,Missed Shot,Cutting Dunk Shot,2,4,0.0,0
0022400224,9,1610612764,1642259,A. Sarr,165,194,25,0,1,0,0,v,Missed Shot,Jump Shot,3,4,0.0,0
0022400262,9,1610612762,1629012,C. Sexton,-37,16,4,1,1,2,2,v,Made Shot,Alley Oop Layup shot,2,4,0.0,0
0022400269,9,1610612744,1630322,L. Waters III,5,13,1,1,1,2,2,v,Made Shot,Driving Layup Shot,2,4,0.0,0
0022400331,8,1610612759,203084,H. Barnes,-25,74,8,0,1,0,0,h,Missed Shot,Driving Floating Jump Shot,2,4,0.0,0
0022400337,8,1610612759,1642264,S. Castle,-40,52,7,0,1,0,0,h,Missed Shot,Driving Floating Jump Shot,2,4,0.0,0
0022400386,9,1610612759,1630170,D. Vassell,5,16,2,1,1,2,0,h,Made Shot,Driving Layup Shot,2,4,0.0,0
0022400405,8,1610612752,1628969,M. Bridges,-233,77,25,1,1,3,0,h,Made Shot,Jump Shot,3,4,0.0,0
0022400441,9,1610612750,203497,R. Gobert,10,2,1,1,1,2,3,h,Made Shot,Alley Oop Dunk Shot,2,4,0.0,0
