PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,SHOT_TYPE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
203991,"Capela, Clint",1,55,55,Overall,1.0,218,390,0.559,0.559,0.997,218,389,0.56,0.003,0,1,0.0
203992,"Bogdanović, Bogdan",1,24,24,Overall,1.0,83,224,0.371,0.469,0.348,39,78,0.5,0.652,44,146,0.301
1626204,"Nance Jr., Larry",1,24,24,Overall,1.0,80,155,0.516,0.626,0.51,46,79,0.582,0.49,34,76,0.447
1629027,"Young, Trae",1,76,76,Overall,1.0,566,1376,0.411,0.491,0.533,348,734,0.474,0.467,218,642,0.34
1629631,"Hunter, De'Andre",1,37,37,Overall,1.0,226,489,0.462,0.56,0.497,130,243,0.535,0.503,96,246,0.39
1629726,"Mathews, Garrison",1,47,45,Overall,1.0,102,257,0.397,0.562,0.152,17,39,0.436,0.848,85,218,0.39
1630168,"Okongwu, Onyeka",1,74,74,Overall,1.0,388,684,0.567,0.602,0.784,340,536,0.634,0.216,48,148,0.324
1630249,"Krejčí, Vít",1,57,54,Overall,1.0,145,292,0.497,0.651,0.295,55,86,0.64,0.705,90,206,0.437
1630552,"Johnson, Jalen",1,36,36,Overall,1.0,269,537,0.501,0.542,0.741,225,398,0.565,0.259,44,139,0.317
1630700,"Daniels, Dyson",1,76,76,Overall,1.0,455,923,0.493,0.536,0.745,375,688,0.545,0.255,80,235,0.34
1630811,"Wallace, Keaton",1,31,28,Overall,1.0,65,162,0.401,0.485,0.494,38,80,0.475,0.506,27,82,0.329
1631230,"Barlow, Dominick",1,35,30,Overall,1.0,60,113,0.531,0.562,0.761,53,86,0.616,0.239,7,27,0.259
1642258,"Risacher, Zaccharie",1,75,75,Overall,1.0,357,780,0.458,0.536,0.559,235,436,0.539,0.441,122,344,0.355
201143,"Horford, Al",1,60,59,Overall,1.0,192,456,0.421,0.543,0.322,81,147,0.551,0.678,111,309,0.359
201950,"Holiday, Jrue",1,62,62,Overall,1.0,250,563,0.444,0.538,0.467,144,263,0.548,0.533,106,300,0.353
204001,"Porziņģis, Kristaps",1,42,41,Overall,1.0,268,556,0.482,0.574,0.556,166,309,0.537,0.444,102,247,0.413
1627759,"Brown, Jaylen",1,63,62,Overall,1.0,512,1105,0.463,0.516,0.677,396,748,0.529,0.323,116,357,0.325
1628369,"Tatum, Jayson",1,72,71,Overall,1.0,651,1442,0.451,0.538,0.501,402,723,0.556,0.499,249,719,0.346
1628401,"White, Derrick",1,76,76,Overall,1.0,424,959,0.442,0.58,0.279,159,268,0.593,0.721,265,691,0.384
1628436,"Kornet, Luke",1,73,66,Overall,1.0,186,279,0.667,0.667,0.989,186,276,0.674,0.011,0,3,0.0
1628470,"Craig, Torrey",1,17,14,Overall,1.0,16,45,0.356,0.456,0.311,7,14,0.5,0.689,9,31,0.29
1630202,"Pritchard, Payton",1,80,79,Overall,1.0,408,860,0.474,0.622,0.278,154,239,0.644,0.722,254,621,0.409
1630573,"Hauser, Sam",1,71,69,Overall,1.0,211,469,0.45,0.624,0.16,48,75,0.64,0.84,163,394,0.414
1631248,"Scheierman, Baylor",1,31,26,Overall,1.0,39,110,0.355,0.473,0.255,13,28,0.464,0.745,26,82,0.317
202684,"Thompson, Tristan",1,40,30,Overall,1.0,31,71,0.437,0.437,0.958,31,68,0.456,0.042,0,3,0.0
1628378,"Mitchell, Donovan",1,71,71,Overall,1.0,585,1320,0.443,0.531,0.52,352,687,0.512,0.48,233,633,0.368
1628386,"Allen, Jarrett",1,82,82,Overall,1.0,452,640,0.706,0.706,0.992,452,635,0.712,0.008,0,5,0.0
1629622,"Strus, Max",1,50,50,Overall,1.0,165,373,0.442,0.594,0.214,52,80,0.65,0.786,113,293,0.386
1629631,"Hunter, De'Andre",1,27,27,Overall,1.0,131,270,0.485,0.596,0.478,71,129,0.55,0.522,60,141,0.426
1629636,"Garland, Darius",1,75,75,Overall,1.0,554,1174,0.472,0.562,0.549,342,645,0.53,0.451,212,529,0.401
1629731,"Wade, Dean",1,59,59,Overall,1.0,112,271,0.413,0.561,0.181,32,49,0.653,0.819,80,222,0.36
1629750,"Green, Javonte",1,18,15,Overall,1.0,23,63,0.365,0.429,0.476,15,30,0.5,0.524,8,33,0.242
1630171,"Okoro, Isaac",1,55,55,Overall,1.0,124,267,0.464,0.569,0.434,68,116,0.586,0.566,56,151,0.371
1630241,"Merrill, Sam",1,71,70,Overall,1.0,172,424,0.406,0.567,0.132,35,56,0.625,0.868,137,368,0.372
1630596,"Mobley, Evan",1,71,71,Overall,1.0,505,906,0.557,0.604,0.746,420,676,0.621,0.254,85,230,0.37
203468,"McCollum, CJ",1,56,56,Overall,1.0,444,1000,0.444,0.53,0.541,273,541,0.505,0.459,171,459,0.373
203482,"Olynyk, Kelly",1,20,20,Overall,1.0,75,150,0.5,0.547,0.76,61,114,0.535,0.24,14,36,0.389
1627749,"Murray, Dejounte",1,31,31,Overall,1.0,194,493,0.394,0.446,0.647,142,319,0.445,0.353,52,174,0.299
1628964,"Bamba, Mo",1,4,4,Overall,1.0,4,9,0.444,0.444,0.556,4,5,0.8,0.444,0,4,0.0
1628971,"Brown, Bruce",1,23,23,Overall,1.0,73,178,0.41,0.455,0.747,57,133,0.429,0.253,16,45,0.356
1629627,"Williamson, Zion",1,30,30,Overall,1.0,288,508,0.567,0.57,0.974,285,495,0.576,0.026,3,13,0.231
1630526,"Robinson-Earl, Jeremiah",1,66,63,Overall,1.0,158,347,0.455,0.536,0.527,102,183,0.557,0.473,56,164,0.341
1630527,"Boston, Brandon",1,42,40,Overall,1.0,165,379,0.435,0.5,0.631,116,239,0.485,0.369,49,140,0.35
1630529,"Jones, Herbert",1,20,20,Overall,1.0,75,172,0.436,0.5,0.581,53,100,0.53,0.419,22,72,0.306
1630530,"Murphy III, Trey",1,53,52,Overall,1.0,381,839,0.454,0.548,0.478,223,401,0.556,0.522,158,438,0.361
1630631,"Alvarado, Jose",1,56,56,Overall,1.0,204,521,0.392,0.498,0.407,93,212,0.439,0.593,111,309,0.359
1631255,"Matković, Karlo",1,42,38,Overall,1.0,135,235,0.574,0.619,0.719,114,169,0.675,0.281,21,66,0.318
1631288,"Cain, Jamal",1,37,32,Overall,1.0,68,158,0.43,0.513,0.494,42,78,0.538,0.506,26,80,0.325
1641722,"Hawkins, Jordan",1,56,56,Overall,1.0,207,556,0.372,0.471,0.403,97,224,0.433,0.597,110,332,0.331
