PLAYER_ID,SEASON_ID,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT
2544,2024-25,58,2023,555,1073,0.517,132,344,0.384
101108,2024-25,67,1885,196,469,0.418,115,306,0.376
200768,2024-25,33,623,39,111,0.351,28,83,0.337
201142,2024-25,56,2066,533,1013,0.526,139,334,0.416
201143,2024-25,52,1427,160,382,0.419,95,262,0.363
201144,2024-25,59,1467,155,392,0.395,109,264,0.413
201145,2024-25,26,319,48,95,0.505,20,58,0.345
201566,2024-25,62,1748,311,676,0.46,82,240,0.342
201567,2024-25,22,246,41,115,0.357,24,67,0.358
201569,2024-25,39,769,87,204,0.426,56,137,0.409
201572,2024-25,66,2093,308,625,0.493,117,317,0.369
201587,2024-25,66,1191,85,206,0.413,71,173,0.41
201599,2024-25,46,528,69,106,0.651,0,0,0.0
201935,2024-25,65,2277,425,1069,0.398,195,564,0.346
201939,2024-25,59,1904,470,1058,0.444,261,663,0.394
201942,2024-25,62,2221,501,1030,0.486,69,194,0.356
201949,2024-25,12,37,4,11,0.364,0,3,0.0
201950,2024-25,52,1588,213,479,0.445,91,265,0.343
201959,2024-25,27,306,34,70,0.486,1,2,0.5
201988,2024-25,25,298,30,86,0.349,21,67,0.313
202066,2024-25,23,175,9,41,0.22,5,20,0.25
202331,2024-25,41,1334,245,570,0.43,96,268,0.358
202681,2024-25,50,1804,447,945,0.473,144,359,0.401
202684,2024-25,35,252,23,54,0.426,0,3,0.0
202685,2024-25,66,1315,297,544,0.546,8,32,0.25
202691,2024-25,61,1691,317,764,0.415,189,475,0.398
202692,2024-25,36,638,72,177,0.407,54,129,0.419
202693,2024-25,12,97,12,47,0.255,7,26,0.269
202695,2024-25,25,746,188,401,0.469,47,127,0.37
202696,2024-25,60,1906,454,859,0.529,105,269,0.39
202699,2024-25,65,2087,345,730,0.473,81,239,0.339
202704,2024-25,31,384,52,133,0.391,25,74,0.338
202709,2024-25,38,360,35,91,0.385,21,60,0.35
202710,2024-25,41,1274,223,444,0.502,20,67,0.299
203076,2024-25,43,1470,410,776,0.528,30,96,0.313
203078,2024-25,48,1545,318,630,0.505,92,233,0.395
203081,2024-25,57,2055,438,974,0.45,195,515,0.379
203083,2024-25,40,751,117,234,0.5,3,20,0.15
203084,2024-25,67,1828,273,538,0.507,117,271,0.432
203109,2024-25,7,92,6,17,0.353,3,12,0.25
203110,2024-25,54,1565,174,399,0.436,61,182,0.335
203114,2024-25,34,785,152,310,0.49,44,123,0.358
203458,2024-25,43,342,26,52,0.5,1,6,0.167
203468,2024-25,53,1735,415,939,0.442,162,431,0.376
203471,2024-25,63,1733,295,706,0.418,116,327,0.355
203482,2024-25,35,665,101,205,0.493,27,66,0.409
203484,2024-25,65,1964,203,474,0.428,89,279,0.319
203486,2024-25,68,1205,116,189,0.614,0,3,0.0
203497,2024-25,60,1964,255,390,0.654,0,0,0.0
203500,2024-25,49,618,70,134,0.522,0,1,0.0
203501,2024-25,65,1828,223,557,0.4,136,377,0.361
203507,2024-25,55,1865,665,1102,0.603,8,44,0.182
203552,2024-25,56,814,121,263,0.46,64,144,0.444
203897,2024-25,60,2089,510,989,0.516,192,432,0.444
203901,2024-25,13,267,26,67,0.388,0,1,0.0
203903,2024-25,35,920,193,471,0.41,81,221,0.367
203914,2024-25,35,544,37,100,0.37,25,76,0.329
203915,2024-25,67,1739,231,558,0.414,91,271,0.336
203924,2024-25,47,1524,214,574,0.373,108,296,0.365
203926,2024-25,36,286,38,91,0.418,33,78,0.423
203932,2024-25,40,1087,195,374,0.521,58,127,0.457
203935,2024-25,28,578,87,221,0.394,42,123,0.341
203937,2024-25,50,746,101,224,0.451,22,60,0.367
203939,2024-25,44,413,34,46,0.739,1,2,0.5
203944,2024-25,57,1843,371,782,0.474,83,255,0.325
203952,2024-25,54,1666,331,754,0.439,115,316,0.364
203954,2024-25,19,574,140,315,0.444,23,77,0.299
203957,2024-25,18,344,60,125,0.48,21,47,0.447
203967,2024-25,15,203,19,56,0.339,7,26,0.269
203991,2024-25,55,1176,218,390,0.559,0,1,0.0
203992,2024-25,40,1018,156,383,0.407,76,232,0.328
203994,2024-25,37,788,108,233,0.464,21,80,0.263
203995,2024-25,38,771,95,273,0.348,45,125,0.36
203999,2024-25,62,2263,690,1201,0.575,117,283,0.413
204001,2024-25,33,957,215,451,0.477,78,198,0.394
204060,2024-25,18,108,6,20,0.3,3,13,0.231
204456,2024-25,64,1157,270,519,0.52,13,43,0.302
1626145,2024-25,68,1908,259,579,0.447,143,336,0.426
1626153,2024-25,30,423,24,85,0.282,13,51,0.255
1626156,2024-25,52,1332,227,567,0.4,100,314,0.318
1626157,2024-25,60,2097,527,1001,0.526,125,292,0.428
1626158,2024-25,27,486,81,123,0.659,0,3,0.0
1626162,2024-25,60,2078,348,741,0.47,71,242,0.293
1626164,2024-25,63,2357,537,1176,0.457,166,479,0.347
1626166,2024-25,61,870,148,363,0.408,77,212,0.363
1626167,2024-25,59,1808,321,679,0.473,127,323,0.393
1626168,2024-25,55,1003,117,286,0.409,63,184,0.342
1626171,2024-25,46,1160,258,557,0.463,60,165,0.364
1626172,2024-25,62,965,128,248,0.516,0,3,0.0
1626179,2024-25,59,1571,241,608,0.396,88,293,0.3
1626181,2024-25,47,1543,383,782,0.49,152,360,0.422
1626192,2024-25,32,464,50,117,0.427,20,62,0.323
1626196,2024-25,8,149,11,38,0.289,6,22,0.273
1626204,2024-25,24,463,80,155,0.516,34,76,0.447
1626220,2024-25,63,1592,210,485,0.433,153,367,0.417
1627732,2024-25,40,963,108,201,0.537,0,0,0.0
1627734,2024-25,58,2016,437,737,0.593,57,134,0.425
1627736,2024-25,69,1891,391,890,0.439,267,639,0.418
1627739,2024-25,60,1443,151,353,0.428,53,175,0.303
1627741,2024-25,68,1570,279,673,0.415,170,466,0.365
1627742,2024-25,18,595,155,333,0.465,43,115,0.374
1627747,2024-25,52,1294,222,469,0.473,89,226,0.394
1627749,2024-25,31,1012,194,494,0.393,52,174,0.299
1627750,2024-25,61,2220,483,1018,0.474,145,365,0.397
1627751,2024-25,52,1551,323,524,0.616,1,3,0.333
1627752,2024-25,66,1764,192,425,0.452,123,277,0.444
1627759,2024-25,56,1974,474,1033,0.459,103,326,0.316
1627763,2024-25,24,564,104,240,0.433,16,56,0.286
1627777,2024-25,66,1440,234,510,0.459,129,328,0.393
1627780,2024-25,55,811,152,261,0.582,26,82,0.317
1627783,2024-25,66,2173,534,1016,0.526,114,288,0.396
1627814,2024-25,18,109,19,54,0.352,6,27,0.222
